"ngram","pubyear","count","rel_freq"
"102","Wind direction",2013,44,1.39898160498165e-05
"103","Rotational speed",2013,44,1.39898160498165e-05
"104","Kinetic energy",2015,44,1.31549325166911e-05
"105","Electric machine",2010,44,2.36434312637092e-05
"106","Mechanical energy",2009,44,1.34320835695396e-05
"107","Alternator",2013,44,1.39898160498165e-05
"108","AC power",2014,43,1.16431047232285e-05
"109","Synchronous motor",2011,43,2.34147786459397e-05
"110","Energy storage",2013,42,1.33539153202794e-05
"111","Wind direction",2012,42,2.49676460919392e-05
"112","Electric power system",2014,42,1.13723348459441e-05
"113","Wind direction",2009,42,1.28215343163787e-05
"114","Solar cell",2015,41,1.2258005299644e-05
"115","Flight control surfaces",2010,40,2.14940284215538e-05
"116","Water turbine",2013,40,1.27180145907422e-05
"117","Rotational speed",2015,40,1.19590295606282e-05
"118","Wind farm",2007,40,1.36810415650564e-05
"119","Electrical energy",2007,40,1.36810415650564e-05
"120","Structural element",2014,39,1.0560025214091e-05
"121","Magnetic flux",2011,39,2.12366597021313e-05
"122","Flight control surfaces",2009,39,1.19057104366374e-05
"123","Carbon dioxide",2011,38,2.06921299661793e-05
"124","Motor vehicle",2013,38,1.20821138612051e-05
"125","Yaw system",2011,38,2.06921299661793e-05
"126","Rolling-element bearing",2014,38,1.02892553368066e-05
"127","Rotational energy",2011,38,2.06921299661793e-05
"128","Wind speed",2007,38,1.29969894868036e-05
"129","Lubricant",2011,37,2.01476002302272e-05
"130","Motor vehicle",2014,37,1.00184854595222e-05
"131","Electric power system",2013,37,1.17641634964366e-05
"132","Mechanical energy",2008,37,1.04671281255693e-05
"133","Synchronous motor",2013,37,1.17641634964366e-05
"134","Energy transformation",2011,36,1.96030704942751e-05
"135","Motor vehicle",2011,36,1.96030704942751e-05
"136","AC power",2015,36,1.07631266045654e-05
"137","Rotational speed",2009,36,1.0989886556896e-05
"138","Kinetic energy",2013,36,1.1446213131668e-05
"139","Renewable energy",2009,35,1.06846119303156e-05
"140","AC power",2012,35,2.08063717432827e-05
"141","Fluid dynamics",2014,34,9.20617582766905e-06
"142","ISO 6709",2011,34,1.85140110223709e-05
"143","Heat pipe",2011,34,1.85140110223709e-05
"144","Wind farm",2006,34,1.38575283060394e-05
"145","Parameter (computer programming)",2011,33,1.79694812864188e-05
"146","Heat exchanger",2015,33,9.8661993875183e-06
"147","Energy storage device",2014,32,8.66463607310029e-06
"148","Heat exchanger",2014,32,8.66463607310029e-06
"149","Electricity generation",2012,32,1.90229684510013e-05
"150","Electric power transmission",2011,32,1.74249515504667e-05
"151","Leading edge",2010,32,1.7195222737243e-05
"152","Electric power system",2011,32,1.74249515504667e-05
"153","Rotation around a fixed axis",2011,32,1.74249515504667e-05
"154","Electric machine",2008,32,9.05265135184374e-06
"155","Electric power conversion",2014,31,8.3938661958159e-06
"156","Electric generator",2013,31,9.85646130782524e-06
"157","Flight control surfaces",2008,31,8.76975599709863e-06
"158","Leading edge",2015,31,9.26824790948689e-06
"159","Rotational speed",2014,31,8.3938661958159e-06
"160","Mechanical energy",2015,31,9.26824790948689e-06
"161","Solar panel",2011,30,1.63358920785626e-05
"162","Fluid dynamics",2009,30,9.15823879741335e-06
"163","AC power",2009,30,9.15823879741335e-06
"164","Voltage source",2011,30,1.63358920785626e-05
"165","Renewable energy",2013,30,9.53851094305668e-06
"166","Alternator",2010,30,1.61205213161653e-05
"167","Energy storage",2015,30,8.96927217047118e-06
"168","Electric arc furnace",2011,30,1.63358920785626e-05
"169","Water turbine",2011,29,1.57913623426105e-05
"170","Fluid dynamics",2013,29,9.22056057828812e-06
"171","Control System",2007,29,9.91875513466591e-06
"172","Beaufort scale",2014,29,7.85232644124713e-06
"173","Energy storage",2014,29,7.85232644124713e-06
"174","Surface layer",2011,29,1.57913623426105e-05
"175","Energy development",2011,28,1.52468326066584e-05
"176","Electric power transmission",2007,28,9.5767290955395e-06
"177","Kinetic energy",2009,28,8.54768954425246e-06
"178","Electric generator",2014,28,7.58155656396275e-06
"179","Epicyclic gearing",2013,28,8.90261021351957e-06
"180","Induction generator",2011,28,1.52468326066584e-05
"181","Boundary layer",2011,28,1.52468326066584e-05
"182","Light",2011,28,1.52468326066584e-05
"183","Kinetic energy",2012,27,1.60506296305323e-05
"184","Rotational speed",2008,27,7.63817457811816e-06
"185","Alternator",2011,27,1.47023028707063e-05
"186","Electricity generation",2007,27,9.23470305641309e-06
"187","Fluid dynamics",2008,27,7.63817457811816e-06
"188","Optical fiber",2014,27,7.31078668667837e-06
"189","Directional antenna",2011,27,1.47023028707063e-05
"190","Renewable energy",2015,27,8.07234495342406e-06
"191","Glass fiber",2011,27,1.47023028707063e-05
"192","Alternator",2014,27,7.31078668667837e-06
"193","AC power",2011,27,1.47023028707063e-05
"194","Disc brake",2014,27,7.31078668667837e-06
"195","Electric power conversion",2012,27,1.60506296305323e-05
"196","Water turbine",2014,26,7.04001680939398e-06
"197","Wind direction",2015,26,7.77336921440836e-06
"198","Superheated steam",2011,26,1.41577731347542e-05
"199","Energy transformation",2014,26,7.04001680939398e-06
"200","Rotational speed",2010,26,1.397111847401e-05
"201","Active Power",2014,26,7.04001680939398e-06
"202","Centrifugal force",2013,25,7.9487591192139e-06
"203","Electrical energy",2006,25,1.01893590485584e-05
"204","Rolling-element bearing",2015,25,7.47439347539265e-06
"205","Cryogenics",2011,25,1.36132433988021e-05
"206","Leading edge",2014,25,6.7692469321096e-06
"207","Angle of attack",2014,25,6.7692469321096e-06
"208","Centrifugal force",2015,25,7.47439347539265e-06
"209","Water turbine",2009,25,7.63186566451112e-06
"210","Motor vehicle",2009,25,7.63186566451112e-06
"211","AC power",2013,25,7.9487591192139e-06
"212","Alternating current",2009,24,7.32659103793068e-06
"213","Phase angle",2011,24,1.30687136628501e-05
"214","Electric machine",2007,24,8.20862493903386e-06
"215","Block diagram",2015,24,7.17541773637695e-06
"216","Leading edge",2013,24,7.63080875444534e-06
"217","Motor vehicle",2015,24,7.17541773637695e-06
"218","Electric power conversion",2015,24,7.17541773637695e-06
"219","Electric power distribution",2014,23,6.22770717754083e-06
"220","Energy storage",2012,23,1.36727585741572e-05
"221","Turbine blade",2006,23,9.37421032467374e-06
"222","Rolling-element bearing",2013,23,7.31285838967679e-06
"223","Energy development",2010,23,1.23590663423934e-05
"224","Mechanical energy",2013,23,7.31285838967679e-06
"225","Heat engine",2009,23,7.02131641135023e-06
"226","Electric power conversion",2008,22,6.22369780439257e-06
"227","Composite material",2015,22,6.57746625834553e-06
"228","Solar cell",2013,22,6.99490802490823e-06
"229","Tympanic cavity",2015,22,6.57746625834553e-06
"230","Volumetric flow rate",2011,22,1.19796541909459e-05
"231","Electric generator",2010,22,1.18217156318546e-05
"232","Rolling-element bearing",2009,22,6.71604178476979e-06
"233","Angular displacement",2014,22,5.95693730025645e-06
"234","Epicyclic gearing",2015,21,6.27849051932983e-06
"235","Control System",2008,21,5.94080244964746e-06
"236","Angle of attack",2013,21,6.67695766013968e-06
"237","Solar cell",2014,21,5.68616742297206e-06
"238","Mechanical energy",2007,21,7.18254682165463e-06
"239","Fluid dynamics",2012,21,1.24838230459696e-05
"240","Alternator",2015,21,6.27849051932983e-06
"241","Photovoltaic system",2014,21,5.68616742297206e-06
"242","Electric power distribution",2015,21,6.27849051932983e-06
"243","Block diagram",2013,20,6.35900729537112e-06
"244","Light",2014,20,5.41539754568768e-06
"245","Electric generator",2012,20,1.18893552818758e-05
"246","Vanadium redox battery",2007,20,6.84052078252822e-06
"247","Vortex generator",2013,20,6.35900729537112e-06
"248","Plain bearing",2013,20,6.35900729537112e-06
"249","Industrial applicability",2011,20,1.08905947190417e-05
"250","Heat exchanger",2013,20,6.35900729537112e-06
"251","Kinetic energy",2010,20,1.07470142107769e-05
"252","Thermal energy",2011,20,1.08905947190417e-05
"253","Heat exchanger",2008,20,5.65790709490234e-06
"254","Motive power",2011,20,1.08905947190417e-05
"255","Electric power conversion",2009,20,6.1054925316089e-06
"256","Water turbine",2008,20,5.65790709490234e-06
"257","Block diagram",2010,20,1.07470142107769e-05
"258","Carbon dioxide",2014,19,5.14462766840329e-06
"259","Photovoltaic system",2011,19,1.03460649830896e-05
"260","Lifting equipment",2011,19,1.03460649830896e-05
"261","Wind direction",2007,19,6.4984947434018e-06
"262","Transmission line",2011,19,1.03460649830896e-05
"263","Centrifugal force",2011,19,1.03460649830896e-05
"264","Electricity generation",2006,19,7.74391287690439e-06
"265","Helicopter rotor",2011,19,1.03460649830896e-05
"266","High pressure",2011,19,1.03460649830896e-05
"267","Environmental flow",2011,19,1.03460649830896e-05
"268","Line voltage",2011,19,1.03460649830896e-05
"269","Energy storage",2009,19,5.80021790502845e-06
"270","Turbine blade",2007,19,6.4984947434018e-06
"271","Helicopter rotor",2010,19,1.0209663500238e-05
"272","Lift (force)",2011,19,1.03460649830896e-05
"273","Tympanic cavity",2014,19,5.14462766840329e-06
"274","Direct current",2011,19,1.03460649830896e-05
"275","Waste heat",2011,19,1.03460649830896e-05
"276","Magnetic core",2011,19,1.03460649830896e-05
"277","Vortex generator",2015,19,5.68053904129842e-06
"278","Angle of attack",2015,19,5.68053904129842e-06
"279","Speed",2011,19,1.03460649830896e-05
"280","Heat exchanger",2012,19,1.1294887517782e-05
"281","Renewable energy",2012,19,1.1294887517782e-05
"282","Signaling (telecommunications)",2012,18,1.07004197536882e-05
"283","Signaling (telecommunications)",2014,18,4.87385779111891e-06
"284","Beaufort scale",2009,18,5.49494327844801e-06
"285","Surface area",2011,18,9.80153524713754e-06
"286","Cost reduction",2011,18,9.80153524713754e-06
"287","Power outage",2014,18,4.87385779111891e-06
"288","Helicopter rotor",2013,18,5.72310656583401e-06
"289","Offshore wind power",2011,18,9.80153524713754e-06
"290","Disc brake",2011,18,9.80153524713754e-06
"291","Heat exchanger",2009,18,5.49494327844801e-06
"292","Fluid dynamics",2015,18,5.38156330228271e-06
"293","Motor vehicle",2010,18,9.6723127896992e-06
"294","Electric energy consumption",2013,18,5.72310656583401e-06
"295","Electric power system",2012,18,1.07004197536882e-05
"296","TimeShift",2011,18,9.80153524713754e-06
"297","Water turbine",2015,17,5.082587563267e-06
"298","Electric power transmission",2013,17,5.40515620106545e-06
"299","Frequency changer",2013,17,5.40515620106545e-06
"300","Pressure",2011,17,9.25700551118546e-06
"301","Beaufort scale",2010,17,9.13496207916036e-06
"302","Water",2011,17,9.25700551118546e-06
"303","Angle of attack",2009,17,5.18966865186756e-06
"304","Composite material",2010,17,9.13496207916036e-06
"305","Hydropower",2011,17,9.25700551118546e-06
"306","Structural element",2013,17,5.40515620106545e-06
"307","Helicopter rotor",2014,17,4.60308791383453e-06
"308","Beaufort scale",2013,17,5.40515620106545e-06
"309","Energy development",2009,17,5.18966865186756e-06
"310","Polymer substrate",2015,17,5.082587563267e-06
"311","Offshore structure",2014,17,4.60308791383453e-06
"312","Electric energy consumption",2011,16,8.71247577523337e-06
"313","Wind direction",2006,16,6.52118979107738e-06
"314","Motor vehicle",2008,16,4.52632567592187e-06
"315","Horizontal and vertical",2015,16,4.7836118242513e-06
"316","Composite material",2014,16,4.33231803655014e-06
"317","Energy storage device",2015,16,4.7836118242513e-06
"318","Friction",2011,16,8.71247577523337e-06
"319","Electric power conversion",2007,16,5.47241662602257e-06
"320","Mechanical energy",2012,16,9.51148422550065e-06
"321","Signaling (telecommunications)",2013,16,5.0872058362969e-06
"322","Electrical wiring",2011,16,8.71247577523337e-06
"323","Horizontal plane",2012,16,9.51148422550065e-06
"324","Air mass",2011,16,8.71247577523337e-06
"325","Horizontal and vertical",2011,16,8.71247577523337e-06
"326","Solar irradiance",2011,16,8.71247577523337e-06
"327","Magnetic flux",2014,16,4.33231803655014e-06
"328","Leading edge",2008,16,4.52632567592187e-06
"329","Flight control surfaces",2007,16,5.47241662602257e-06
"330","ISO 6709",2013,16,5.0872058362969e-06
"331","Shikimic acid",2011,16,8.71247577523337e-06
"332","Offshore structure",2011,16,8.71247577523337e-06
"333","Electric power transmission",2014,16,4.33231803655014e-06
"334","Base station",2011,16,8.71247577523337e-06
"335","Room temperature",2011,16,8.71247577523337e-06
"336","Energy transformation",2013,16,5.0872058362969e-06
"337","Active Power",2012,16,9.51148422550065e-06
"338","Reference range",2014,16,4.33231803655014e-06
"339","Hydraulics",2011,16,8.71247577523337e-06
"340","Magnetic flux",2015,16,4.7836118242513e-06
"341","Alternating current",2011,16,8.71247577523337e-06
"342","Heat transfer",2014,16,4.33231803655014e-06
"343","Block diagram",2009,16,4.88439402528712e-06
"344","Linear motor",2011,16,8.71247577523337e-06
"345","Linear motion",2011,16,8.71247577523337e-06
"346","Standard deviation",2011,15,8.16794603928129e-06
"347","Flow Energy",2011,15,8.16794603928129e-06
"348","Motor vehicle",2012,15,8.91701646140686e-06
"349","Carbon monoxide",2011,15,8.16794603928129e-06
"350","Electrical load",2009,15,4.57911939870667e-06
"351","Sunlight",2011,15,8.16794603928129e-06
"352","Solar cell",2009,15,4.57911939870667e-06
"353","Composite material",2012,15,8.91701646140686e-06
"354","Arc length",2014,15,4.06154815926576e-06
"355","Small wind turbine",2015,15,4.48463608523559e-06
"356","Optical fiber",2009,15,4.57911939870667e-06
"357","Power curve",2011,15,8.16794603928129e-06
"358","Electric power transmission",2009,15,4.57911939870667e-06
"359","Electric power transmission",2010,15,8.06026065808267e-06
"360","Wind speed",2006,15,6.11361542913505e-06
"361","ISO 6709",2010,15,8.06026065808267e-06
"362","Block diagram",2012,15,8.91701646140686e-06
"363","Series and parallel circuits",2011,15,8.16794603928129e-06
"364","Thermal energy",2014,15,4.06154815926576e-06
"365","Environmental issue",2011,15,8.16794603928129e-06
"366","Angle of rotation",2011,15,8.16794603928129e-06
"367","Wind engineering",2011,15,8.16794603928129e-06
"368","Structural integrity and failure",2011,15,8.16794603928129e-06
"369","Ice",2011,15,8.16794603928129e-06
"370","Moment of inertia",2015,15,4.48463608523559e-06
"371","Rotation around a fixed axis",2015,15,4.48463608523559e-06
"372","Horizontal and vertical",2014,15,4.06154815926576e-06
"373","Chemical reactor",2014,15,4.06154815926576e-06
"374","Epicyclic gearing",2009,15,4.57911939870667e-06
"375","Lifting equipment",2008,15,4.24343032117675e-06
"376","Offshore structure",2013,15,4.76925547152834e-06
"377","Active Power",2015,15,4.48463608523559e-06
"378","Energy transformation",2008,14,3.96053496643164e-06
"379","Offshore wind power",2013,14,4.45130510675978e-06
"380","Synchronous motor",2015,14,4.18566034621989e-06
"381","High- and low-level",2011,14,7.6234163033292e-06
"382","Angle of attack",2010,14,7.52290994754382e-06
"383","Beaufort scale",2015,14,4.18566034621989e-06
"384","Energy consumption",2011,14,7.6234163033292e-06
"385","Flow diagram",2011,14,7.6234163033292e-06
"386","Energy storage device",2013,14,4.45130510675978e-06
"387","Water mass",2011,14,7.6234163033292e-06
"388","Control arm",2011,14,7.6234163033292e-06
"389","Vortex generator",2014,14,3.79077828198137e-06
"390","Rotation around a fixed axis",2014,14,3.79077828198137e-06
"391","Energy development",2013,14,4.45130510675978e-06
"392","Structural element",2008,14,3.96053496643164e-06
"393","Fatigue (material)",2011,14,7.6234163033292e-06
"394","Solar panel",2013,14,4.45130510675978e-06
"395","Kinetic energy",2008,14,3.96053496643164e-06
"396","Driver circuit",2007,14,4.78836454776975e-06
"397","Signaling (telecommunications)",2007,14,4.78836454776975e-06
"398","Rotational speed",2007,14,4.78836454776975e-06
"399","Sea level",2011,14,7.6234163033292e-06
"400","Wind tunnel",2011,14,7.6234163033292e-06
"401","Thermometer",2011,14,7.6234163033292e-06
"402","Direct current",2010,14,7.52290994754382e-06
"403","Angle of attack",2008,14,3.96053496643164e-06
"404","Horizontal plane",2008,14,3.96053496643164e-06
"405","Foil (metal)",2013,14,4.45130510675978e-06
"406","Magnetic flux",2009,14,4.27384477212623e-06
"407","Electric machine",2006,13,5.29846670525037e-06
"408","Management system",2014,13,3.52000840469699e-06
"409","Electrical grid",2011,13,7.07888656737711e-06
"410","Temperature",2011,13,7.07888656737711e-06
"411","Heat sink",2011,13,7.07888656737711e-06
"412","Test bench",2007,13,4.44633850864334e-06
"413","AC power",2010,13,6.98555923700498e-06
"414","Energy supply",2011,13,7.07888656737711e-06
"415","Signaling (telecommunications)",2009,13,3.96857014554578e-06
"416","Electrical connection",2011,13,7.07888656737711e-06
"417","Power curve",2014,13,3.52000840469699e-06
"418","Magnetic flux",2013,13,4.13335474199123e-06
"419","Drive wheel",2014,13,3.52000840469699e-06
"420","Magnetic core",2015,13,3.88668460720418e-06
"421","Mechanical energy",2010,13,6.98555923700498e-06
"422","Photovoltaic system",2015,13,3.88668460720418e-06
"423","Dynamic pressure",2014,13,3.52000840469699e-06
"424","Electric power transmission",2012,13,7.72808093321927e-06
"425","Energy storage device",2011,13,7.07888656737711e-06
"426","Electrical grid",2007,13,4.44633850864334e-06
"427","Battery (electricity)",2011,13,7.07888656737711e-06
"428","Block diagram",2008,13,3.67763961168652e-06
"429","Utility model",2014,13,3.52000840469699e-06
"430","Heat transfer",2015,13,3.88668460720418e-06
"431","Leading edge",2009,13,3.96857014554578e-06
"432","Wave power",2011,13,7.07888656737711e-06
"433","Drag (physics)",2011,13,7.07888656737711e-06
"434","Laminar flow",2011,13,7.07888656737711e-06
"435","Water",2013,13,4.13335474199123e-06
"436","Energy transformation",2015,13,3.88668460720418e-06
"437","Electric power conversion",2010,13,6.98555923700498e-06
"438","Tidal power",2013,13,4.13335474199123e-06
"439","Yaw system",2009,13,3.96857014554578e-06
"440","Transition metal",2010,13,6.98555923700498e-06
"441","Tympanic cavity",2011,12,6.53435683142503e-06
"442","Light",2009,12,3.66329551896534e-06
"443","Utility system",2010,12,6.44820852646613e-06
"444","Angle of attack",2007,12,4.10431246951693e-06
"445","Energy density",2011,12,6.53435683142503e-06
"446","Heating system",2008,12,3.3947442569414e-06
"447","Control line",2011,12,6.53435683142503e-06
"448","Base oil",2011,12,6.53435683142503e-06
"449","Eigenvalues and eigenvectors",2014,12,3.24923852741261e-06
"450","Power-to-weight ratio",2013,12,3.81540437722267e-06
"451","Optical fiber",2008,12,3.3947442569414e-06
"452","Frequency band",2014,12,3.24923852741261e-06
"453","ISO 2145",2010,12,6.44820852646613e-06
"454","AC power",2007,12,4.10431246951693e-06
"455","Control unit",2012,12,7.13361316912548e-06
"456","Differential (mechanical device)",2013,12,3.81540437722267e-06
"457","Tunica intima",2013,12,3.81540437722267e-06
"458","Euler angles",2013,12,3.81540437722267e-06
"459","HVAC",2011,12,6.53435683142503e-06
"460","Energy development",2014,12,3.24923852741261e-06
"461","Thermal power station",2014,12,3.24923852741261e-06
"462","Angle of attack",2012,12,7.13361316912548e-06
"463","Electric generator",2008,12,3.3947442569414e-06
"464","Radial sulcus",2011,12,6.53435683142503e-06
"465","Helicopter rotor",2007,12,4.10431246951693e-06
"466","Epicyclic gearing",2012,12,7.13361316912548e-06
"467","Angular displacement",2011,12,6.53435683142503e-06
"468","Rotation around a fixed axis",2013,12,3.81540437722267e-06
"469","Steam turbine",2013,12,3.81540437722267e-06
"470","Geographic coordinate system",2011,12,6.53435683142503e-06
"471","Windcatcher",2011,12,6.53435683142503e-06
"472","Energy development",2015,12,3.58770886818847e-06
"473","Transducer",2015,12,3.58770886818847e-06
"474","Communications system",2011,12,6.53435683142503e-06
"475","Yaw system",2014,12,3.24923852741261e-06
"476","Light",2013,11,3.49745401245412e-06
"477","Centrifugal force",2010,11,5.91085781592729e-06
"478","Electric power transmission",2015,11,3.28873312917277e-06
"479","Duct (flow)",2011,11,5.98982709547294e-06
"480","Horizontal plane",2011,11,5.98982709547294e-06
"481","Energy storage device",2010,11,5.91085781592729e-06
"482","Bearing (mechanical)",2015,11,3.28873312917277e-06
"483","Flow diagram",2013,11,3.49745401245412e-06
"484","Lift (force)",2014,11,2.97846865012822e-06
"485","Electrical network",2011,11,5.98982709547294e-06
"486","Rotational speed",2006,11,4.4833179813657e-06
"487","Fluid dynamics",2010,11,5.91085781592729e-06
"488","PID controller",2011,11,5.98982709547294e-06
"489","Optical fiber",2010,11,5.91085781592729e-06
"490","Carbonic anhydrase",2008,11,3.11184890219629e-06
"491","Energy transformation",2009,11,3.35802089238489e-06
"492","Control System",2006,11,4.4833179813657e-06
"493","Mass excess",2011,11,5.98982709547294e-06
"494","Electric power transmission",2006,11,4.4833179813657e-06
"495","Offshore wind power",2012,11,6.53914540503169e-06
"496","Normal surface",2011,11,5.98982709547294e-06
"497","Plain bearing",2014,11,2.97846865012822e-06
"498","Acoustic emission",2014,11,2.97846865012822e-06
"499","Vertical plane",2011,11,5.98982709547294e-06
"500","Arc length",2009,11,3.35802089238489e-06
"501","Fluid dynamics",2007,11,3.76228643039052e-06
"502","Flow Chart",2011,11,5.98982709547294e-06
"503","Rotation around a fixed axis",2009,11,3.35802089238489e-06
"504","Altitude",2008,11,3.11184890219629e-06
"505","ISO 6709",2015,11,3.28873312917277e-06
"506","Automotive battery",2011,11,5.98982709547294e-06
"507","Frequency changer",2010,11,5.91085781592729e-06
"508","Lift (force)",2013,11,3.49745401245412e-06
"509","Fossil fuel",2011,11,5.98982709547294e-06
"510","Power conditioner",2011,11,5.98982709547294e-06
"511","Glass fiber",2015,11,3.28873312917277e-06
"512","Transformer",2010,11,5.91085781592729e-06
"513","Structural integrity and failure",2013,11,3.49745401245412e-06
"514","Glass fiber",2012,11,6.53914540503169e-06
"515","Feedback",2011,11,5.98982709547294e-06
"516","Electrical network",2013,11,3.49745401245412e-06
"517","Heat exchanger",2010,11,5.91085781592729e-06
"518","Synchronous motor",2010,11,5.91085781592729e-06
"519","Supply network",2011,11,5.98982709547294e-06
"520","Synchronous motor",2014,10,2.70769877284384e-06
"521","Lorentz force",2011,10,5.44529735952086e-06
"522","Vanadium redox battery",2006,10,4.07574361942336e-06
"523","Rolling-element bearing",2012,10,5.9446776409379e-06
"524","Energy conservation",2011,10,5.44529735952086e-06
"525","Horizontal and vertical",2013,10,3.17950364768556e-06
"526","Synchronous motor",2012,10,5.9446776409379e-06
"527","Linear element",2008,10,2.82895354745117e-06
"528","Steam turbine",2014,10,2.70769877284384e-06
"529","Mumbai Police Detection Unit",2014,10,2.70769877284384e-06
"530","Passivity (engineering)",2011,10,5.44529735952086e-06
"531","Differential (mechanical device)",2011,10,5.44529735952086e-06
"532","Horizontal plane",2009,10,3.05274626580445e-06
"533","Temperature control",2008,10,2.82895354745117e-06
"534","Wave power",2014,10,2.70769877284384e-06
"535","Input port",2011,10,5.44529735952086e-06
"536","Block diagram",2014,10,2.70769877284384e-06
"537","Epicyclic gearing",2014,10,2.70769877284384e-06
"538","Data link",2011,10,5.44529735952086e-06
