"ngram1","ngram2","pubyear","count"
"80","Direct current","Control System",2010,14
"81","Kinetic energy","Electrical energy",2009,14
"82","Engine-generator","AC power",2015,14
"83","Wind speed","Wind farm",2013,14
"84","Battery charger","Automotive battery",2011,14
"85","Wind power","Carbon dioxide",2008,14
"86","Wind power","Wind direction",2013,14
"87","Electric power conversion","Control System",2013,14
"88","Energy development","Electrical energy",2009,14
"89","Gear","Epicyclic gearing",2011,14
"90","Fluid dynamics","Electrical energy",2011,14
"91","Kinetic energy","Electrical energy",2013,13
"92","Mechanical energy","Electrical energy",2013,13
"93","Wind power","Electrical energy",2015,13
"94","Wind farm","Experience point",2011,13
"95","Active Power","AC power",2011,13
"96","Signaling (telecommunications)","Control System",2014,13
"97","Electric power system","AC power",2013,13
"98","Wind power","AC power",2012,13
"99","Thermography","Autostereogram",2014,13
"100","Thermography","Principal series representation",2014,13
"101","Mechanical energy","Electrical energy",2015,13
"102","Energy transformation","Electrical energy",2014,13
"103","Radial sulcus","Lubricant",2011,13
"104","Rechargeable battery","Oxide",2011,12
"105","Wind speed","Weather station",2011,12
"106","Wind power","Water turbine",2009,12
"107","Turbine blade","Electrical energy",2015,12
"108","Wind power","Mechanical energy",2009,12
"109","Control unit","AC power",2012,12
"110","Wind power","Electricity generation",2014,12
"111","Wind speed","Duct (flow)",2011,12
"112","Wind speed","Electrical energy",2015,12
"113","Superficial inguinal ring","Rolling-element bearing",2009,12
"114","Rolling-element bearing","Epicyclic gearing",2011,12
"115","Signaling (telecommunications)","Control logic",2011,12
"116","Mumbai Police Detection Unit","Frequency band",2014,12
"117","Electricity generation","Electrical energy",2014,12
"118","Solar panel","Heat exchanger",2013,12
"119","Rechargeable battery","Electrical energy",2011,12
"120","Wind power","Mechanical energy",2011,12
"121","Renewable energy","Heat exchanger",2012,12
"122","Vanadium redox battery","Direct current",2007,12
"123","Induction generator","Electric power conversion",2011,12
"124","Volumetric flow rate","Duct (flow)",2011,12
"125","Frequency band","Acoustic emission",2014,12
"126","Wind farm","Active Power",2014,12
"127","Wind farm","AC power",2007,12
"128","Solar cell","Fuel cell",2011,11
"129","Rotational speed","Parameter (computer programming)",2011,11
"130","Waste heat","Steam accumulator",2011,11
"131","Wind speed","Wind shear",2015,11
"132","Surface layer","Contact angle",2011,11
"133","Wind power","Wind direction",2010,11
"134","Vortex generator","Angle of attack",2015,11
"135","Flow velocity","Electrical energy",2011,11
"136","Wind farm","AC power",2009,11
"137","Wind farm","Energy storage",2013,11
"138","Wind power","Carbonic anhydrase",2008,11
"139","Polar coordinate system","Flight control surfaces",2011,11
"140","Energy transformation","Electrical energy",2015,11
"141","Standard deviation","Rotational speed",2011,11
"142","Vanadium redox battery","Control System",2006,11
"143","Wind power","Energy storage",2014,11
"144","Electric machine","Electrical energy",2013,11
"145","Wind power","Energy storage",2011,11
"146","Water mass","Water",2011,11
"147","Wind speed","Flow velocity",2011,11
"148","Electrical energy","Carbon dioxide",2008,11
"149","Wind power","Wind farm",2014,11
"150","Wind speed","Solar cell",2015,11
"151","Hydrogen sulfide","Chemical reactor",2014,11
"152","Frequency analysis","Data analysis",2012,11
"153","Wind power","Electricity generation",2015,11
"154","Utility system","Measuring instrument",2010,11
"155","Energy storage device","Electrical energy",2010,11
"156","Wind speed","Control System",2012,11
"157","Solar cell","Photovoltaic system",2011,10
"158","Solar panel","Electrical energy",2013,10
"159","Wind power","Fluid dynamics",2011,10
"160","Central Zone (Hindi)","Arc length",2009,10
"161","Turbine blade","Solar cell",2015,10
"162","Neutron source","Mechanical energy",2008,10
"163","Utility system","Alternator",2010,10
"164","Mechanical energy","Electrical energy",2007,10
"165","Wind farm","Directional antenna",2011,10
"166","Mechanical energy","Kinetic energy",2011,10
"167","Power curve","Heat Generation",2011,10
"168","Mechanical energy","Electrical energy",2010,10
"169","Wind power","Renewable energy",2011,10
"170","Mumbai Police Detection Unit","Acoustic emission",2014,10
"171","Kinetic energy","Electrical energy",2012,10
"172","Wind power","Structural element",2013,10
"173","Electric machine","Differential (mechanical device)",2011,10
"174","Wind power","AC power",2011,10
"175","Wind speed","Wind power",2015,10
"176","Surface layer","Ice",2011,10
"177","Electric power conversion","Electric machine",2013,10
"178","Potential energy","Electrical energy",2013,10
"179","Rechargeable battery","Battery (electricity)",2010,10
"180","Wind speed","Wind power",2014,10
"181","Wind farm","Electric power transmission",2007,10
"182","Wind speed","Rotational speed",2012,10
"183","Renewable energy","Fuel cell",2011,10
"184","Rotation around a fixed axis","Linear motion",2011,10
"185","Wind speed","Wind power",2010,10
"186","Heat exchanger","Electrical energy",2013,10
"187","Power factor","AC power",2014,10
"188","Hydrogen sulfide","Carbon dioxide",2014,10
"189","Wind power","Wind direction",2011,10
"190","Electric energy consumption","Electrical grid",2007,10
"191","Oil bath","Lubricant",2011,10
"192","Yaw system","Data link",2011,10
"193","Wind farm","Parameter (computer programming)",2015,9
"194","Wind farm","Electric power transmission",2008,9
"195","Wind power","Horizontal and vertical",2014,9
"196","Wind power","Renewable energy",2014,9
"197","Volt","Solar cell",2011,9
"198","Turbine blade","Angle of attack",2011,9
"199","Wind farm","Control System",2009,9
"200","Fuel cell","Electric generator",2011,9
"201","Sensible heat","Electric arc furnace",2011,9
"202","Wind farm","AC power",2015,9
"203","Wind speed","Energy density",2011,9
"204","Electric machine","Electrical energy",2014,9
"205","Intermediate good","Flight control surfaces",2012,9
"206","Power control","Electric power conversion",2008,9
"207","Fluid dynamics","Flow velocity",2011,9
"208","Sunlight","Solar irradiance",2010,9
"209","Solar cell","Renewable energy",2009,9
"210","Rotational speed","Centrifugal force",2015,9
"211","Standard deviation","Helicopter rotor",2011,9
"212","Renewable energy","Electrical energy",2011,9
"213","Radial sulcus","Cost reduction",2011,9
"214","Internal flow","Flow velocity",2009,9
"215","Energy storage device","Ancillary services (electric power)",2014,9
"216","Wind farm","Electric power distribution",2014,9
"217","Yaw (rotation)","Wind direction",2010,9
"218","Standard deviation","Lubricant",2015,9
"219","Kinetic energy","Energy transformation",2014,9
"220","Wind speed","Beaufort scale",2011,9
"221","Fuel cell","DC motor",2011,9
"222","Rechargeable battery","Electrical energy",2015,9
"223","Electrical energy","Carbonic anhydrase",2008,9
"224","Wind farm","Electric power distribution",2015,9
"225","Internal flow","Flow velocity",2010,9
"226","Wind speed","Wind farm",2011,9
"227","Wind farm","Electric power distribution",2010,9
"228","Pressure measurement","Chemical reactor",2014,9
"229","Wind power","Solar cell",2009,9
"230","Wind power","Electricity generation",2011,9
"231","Wind speed","Rotational speed",2015,9
"232","Solar cell","Renewable energy",2011,9
"233","Turbine blade","Doppler effect",2014,9
"234","Staple (textiles)","Intermediate good",2012,9
"235","Active Power","AC power",2009,9
"236","Kinetic energy","Electrical energy",2010,9
"237","Motor vehicle","Heat engine",2009,9
"238","Natural frequency","Frequency band",2011,9
"239","Leading edge","Arc length",2014,9
"240","Wind power","Energy storage",2012,9
"241","Wind power","Renewable energy",2009,9
"242","Energy density","Electricity generation",2011,8
"243","Method of moments (statistics)","Control System",2015,8
"244","Water turbine","Turbine blade",2009,8
"245","Polymer substrate","Compression molding",2015,8
"246","Renewable energy","Photovoltaic system",2014,8
"247","Mechanical energy","Energy transformation",2014,8
"248","Transition metal","Flight control surfaces",2010,8
"249","Wind farm","AC power",2012,8
"250","Energy development","Electrical energy",2013,8
"251","Mechanical energy","Kinetic energy",2013,8
"252","Position sensor","Driver circuit",2007,8
"253","Wind speed","Method of moments (statistics)",2015,8
"254","Solar panel","Bijection",2011,8
"255","Pressure measurement","Carbon dioxide",2014,8
"256","Magnetic core","Electric machine",2015,8
"257","Electrical energy","Direct current",2010,8
"258","Line length","Control line",2011,8
"259","Magnetic flux","Electrical energy",2011,8
"260","Diagnostic equation","002 - Early Stage",2011,8
"261","Turbine blade","Electricity generation",2011,8
"262","Induction coil","Control System",2014,8
"263","Wind speed","Power curve",2011,8
"264","Radial sulcus","Epicyclic gearing",2011,8
"265","Fuel cell","Electricity generation",2011,8
"266","Electric power transmission","Electric power conversion",2007,8
"267","Isochoric process","Electrical energy",2008,8
"268","Polymer substrate","Injection moulding",2015,8
"269","Electric machine","Control System",2014,8
"270","Electrical energy","Alternator",2013,8
"271","Memory storage","Control System",2011,8
"272","Rotational speed","Plane of rotation",2015,8
"273","Wind power","Experience point",2015,8
"274","Power control","Electric power conversion",2007,8
"275","Principal part","Epicyclic gearing",2011,8
"276","Electrical energy","Beaufort scale",2011,8
"277","Motive power","Electrical energy",2010,8
"278","Electric power transmission","Electricity generation",2014,8
"279","Wind speed","Rotational speed",2010,8
"280","Wind farm","AC power",2006,8
"281","Disc brake","Brake lining",2015,8
"282","Wind speed","Turbine blade",2013,8
"283","Electricity generation","Electrical energy",2011,8
"284","Wind power","Wind farm",2015,8
"285","Wind power","Intermittent energy source",2011,8
"286","Thermometer","Superheated steam",2011,8
"287","Wind power","Electromagnetic induction",2007,8
"288","Parameter (computer programming)","Control System",2015,8
"289","Control theory","Control System",2015,8
"290","Electric power transmission","Electric power conversion",2008,8
"291","Electric power transmission","AC power",2007,8
"292","Switching circuit theory","Rotational speed",2011,8
"293","Carbonic anhydrase","Carbon dioxide",2008,8
"294","Radial sulcus","Oil bath",2011,8
"295","Lift (force)","Electricity generation",2014,8
"296","Flight control surfaces","Angle of attack",2011,8
"297","Wind power","Wind farm",2007,8
"298","Wind farm","Electrical energy",2010,8
"299","Wind power","Flow Energy",2011,8
"300","Wind speed","Volumetric flow rate",2011,8
"301","Lorentz force","Electromagnetic coil",2011,8
"302","Driver circuit","Angular displacement",2007,8
"303","Fluid dynamics","Beaufort scale",2011,8
"304","Energy storage device","Energy storage",2014,8
"305","Magnetic flux","Magnetic circuit",2011,8
"306","Electron configuration","Centrifugal force",2015,8
"307","Heat exchanger","Geopotential height",2008,8
"308","Neutron source","Electrical energy",2008,8
"309","Normal distribution","Confidence interval",2011,8
"310","HVAC","Coolant",2008,8
"311","Wind power","Rotation around a fixed axis",2011,8
"312","Rechargeable battery","Energy density",2011,8
"313","Wind shear","Control System",2015,8
"314","Hydropower","Electrical energy",2011,8
"315","Wind tunnel","Duct (flow)",2011,8
"316","Wind direction","Flight control surfaces",2011,8
"317","Control System","Angle",2015,7
"318","Hydraulic head","Chemical reactor",2014,7
"319","Wind farm","Electrical energy",2013,7
"320","Yaw system","Plant System",2014,7
"321","Rotational speed","Kinetic energy",2011,7
"322","Thermal energy","Electrical energy",2013,7
"323","Wind speed","Fluid dynamics",2011,7
"324","Idoneal number","Electric generator",2011,7
"325","Wind power","Control System",2013,7
"326","Kinetic energy","Fluid dynamics",2011,7
"327","Vortex generator","Leading edge",2013,7
"328","Mechanical energy","Kinetic energy",2015,7
"329","Power-flow study","AC power",2013,7
"330","Control System","Block diagram",2015,7
"331","Motor vehicle","Electric machine",2014,7
"332","Glass transition","Composite material",2013,7
"333","Wind power","Electricity generation",2008,7
"334","Wind power","Automotive battery",2014,7
"335","Wind power","Computer case",2013,7
"336","Plain bearing","Electric generator",2013,7
"337","Wind power","AC power",2013,7
"338","Energy transformation","Energy conversion efficiency",2011,7
"339","Signaling (telecommunications)","Induction coil",2014,7
"340","Contact Point","ContactPoint",2011,7
"341","Hydraulic head","Carbon dioxide",2014,7
"342","Side lobe","Array data structure",2014,7
"343","Linear motion","Linear alternator",2011,7
"344","Rotational speed","Electrical energy",2009,7
"345","Thermal reservoir","Leading edge",2013,7
"346","Wind farm","Electrical energy",2015,7
"347","Wind farm","Electric power transmission",2006,7
"348","Renewable energy","Carbon dioxide",2011,7
"349","Wind power","Plant System",2014,7
"350","Wireless","Directional antenna",2011,7
"351","Thermal energy","Heat exchanger",2015,7
"352","Idoneal number","DC motor",2011,7
"353","Kinetic energy","Altitude",2008,7
"354","Wind power","Condition monitoring",2013,7
"355","Wind farm","AC power",2013,7
"356","Wind farm","Supply network",2014,7
"357","Drinking water","Air mass",2015,7
"358","Liquidus","Glass fiber",2012,7
"359","Wind power","Fuel cell",2008,7
"360","Electric machine","Electricity generation",2014,7
"361","Solar panel","Renewable energy",2011,7
"362","Solar cell","Electric potential",2011,7
"363","Power-flow study","Electric power system",2013,7
"364","Electric generator","DC motor",2011,7
"365","Viscosity","Base oil",2011,7
"366","Volumetric flow rate","Pressure",2011,7
"367","Noise reduction","Boundary layer",2015,7
"368","Shikimic acid","Dried fruit",2011,7
"369","Solar cell","Electrical energy",2011,7
"370","Series and parallel circuits","Pole piece",2013,7
"371","Motor vehicle","Electrical energy",2011,7
"372","Wind farm","Active Power",2013,7
"373","Mechanical energy","Kinetic energy",2014,7
"374","Rotational speed","Centrifugal force",2011,7
"375","Superheated steam","Rolling (metalworking)",2011,7
"376","Renewable energy","Power-flow study",2015,7
"377","Wind power","Control unit",2012,7
"378","Wind farm","Management system",2014,7
"379","Wind power","Electric power system",2014,7
"380","Rotational speed","Electric power system",2013,7
"381","Solar cell","Electrical energy",2010,7
"382","Wind power","Machine tool",2012,7
"383","Wind direction","Plane of rotation",2011,7
"384","Pole piece","Magnetic flux",2013,7
"385","Fuel cell","Electrical energy",2008,7
"386","Wind power","Signaling (telecommunications)",2011,7
"387","Electric power conversion","Electrical energy",2011,7
"388","Wind direction","Control logic",2011,7
"389","Wind power","Electrical energy",2012,7
"390","Synchronous motor","Electric power system",2011,7
"391","Propylene glycol","Heat-transfer fluid",2011,7
"392","Oil bath","Epicyclic gearing",2011,7
"393","Thermal stability","Silicone resin",2011,7
"394","Renewable energy","Region",2011,7
"395","Motor vehicle","Electric power conversion",2013,7
"396","Electric power distribution","Electrical load",2015,7
"397","Renewable energy","Fuel cell",2012,7
"398","Chemical reaction","Carbon dioxide",2008,7
"399","Wind power","Beaufort scale",2011,7
"400","Laminar flow","Fluid dynamics",2011,7
"401","Wind power","Electric power conversion",2009,7
"402","User equipment","Base station",2011,7
"403","Wind power","Vanadium redox battery",2007,7
"404","Fuel cell","Electrical energy",2011,7
"405","Electric arc furnace","Duct (flow)",2011,7
"406","World energy consumption","Electrical energy",2013,7
"407","Yaw system","Wind power",2014,7
"408","Water treatment","Electrolysis of water",2013,6
"409","Wind power","Linear element",2008,6
"410","Solar cell","Rechargeable battery",2011,6
"411","Fluid dynamics","Angle of attack",2014,6
"412","Transversal (geometry)","Angle of attack",2011,6
"413","Turbine blade","Optical fiber",2008,6
"414","Rolling-element bearing","Deep inguinal ring",2009,6
"415","Rechargeable battery","Battery (electricity)",2013,6
"416","Power curve","HVAC",2011,6
"417","Flow velocity","Beaufort scale",2011,6
"418","Shape optimization","Kinetic energy",2014,6
"419","Water turbine","Steam turbine",2013,6
"420","Solar cell","Hebbian theory",2015,6
"421","Motor vehicle","Electric machine",2009,6
"422","Epicyclic gearing","Decibel",2014,6
"423","Wind shear","Method of moments (statistics)",2015,6
"424","Fuel cell","Diesel generator",2006,6
"425","Electric generator","Alternator",2014,6
"426","Wind power","Level sensor",2014,6
"427","Turbine blade","Mechanical energy",2015,6
"428","Rotation around a fixed axis","Linear alternator",2011,6
"429","Wind power","Turbine blade",2009,6
"430","Turbine blade","Leading edge",2010,6
"431","Electric power distribution","AC power",2013,6
"432","Electricity generation","Beaufort scale",2011,6
"433","Magnetic structure","Magnetic flux",2011,6
"434","Superheated steam","Sensible heat",2011,6
"435","Thermal energy","Mechanical energy",2008,6
"436","Wind speed","Centrifugal force",2015,6
"437","Rotation around a fixed axis","Electricity generation",2011,6
"438","Wind farm","Electrical energy",2014,6
"439","Pour point","Base oil",2011,6
"440","Mechanical energy","Isochoric process",2008,6
"441","Wind power","Control System",2009,6
"442","Wind power","Lorentz force",2007,6
"443","Wind power","Cell plate",2014,6
"444","Wind direction","Control System",2012,6
"445","Wind power","Fluid dynamics",2008,6
"446","HVAC","Heat exchanger",2008,6
"447","Electric power system","Alternator",2011,6
"448","Power factor","Induction generator",2011,6
"449","Wind power","Voltage reference",2014,6
"450","Lift coefficient","Angle of attack",2011,6
"451","Kinetic energy","Energy transformation",2015,6
"452","Syncword","Electric power conversion",2011,6
"453","Wind power","Mast (sailing)",2011,6
"454","Linear alternator","Electrical energy",2009,6
"455","Wind speed","Wind direction",2008,6
"456","Thermal power station","Fuel cell",2011,6
"457","Mumbai Police Detection Unit","Electric power conversion",2011,6
"458","Driver circuit","Absolute value",2007,6
"459","Mechanical energy","Electrical energy",2012,6
"460","Fluid dynamics","Electrical energy",2014,6
"461","Wind power","Electric machine",2014,6
"462","Alternator","AC power",2010,6
"463","Wind power","Carbon dioxide",2009,6
"464","Waste heat","Renewable energy",2011,6
"465","Wind power","Altitude",2008,6
"466","Rotational speed","Feedback",2011,6
"467","Wind farm","Electricity generation",2011,6
"468","Thermal energy","Solar thermal energy",2014,6
"469","Electric power conversion","Control System",2014,6
"470","Rechargeable battery","Electric power industry",2010,6
"471","Energy transformation","Electricity generation",2011,6
"472","Signaling (telecommunications)","Electrical energy",2010,6
"473","Turbine blade","Drag (physics)",2009,6
"474","Yaw system","Control System",2012,6
"475","Wind farm","Supply network",2013,6
"476","Turbine blade","Structural element",2014,6
"477","Energy supply","Electrical energy",2011,6
"478","Magnetic flux","Magnetic core",2011,6
"479","Vanadium redox battery","Electric power distribution",2007,6
"480","Turbine blade","Signaling (telecommunications)",2011,6
"481","Wind power","Mechanical energy",2010,6
"482","Wind power","Differential (mechanical device)",2013,6
"483","Three-phase electric power","Alternator",2014,6
"484","Rotational speed","Angle of attack",2013,6
"485","Line voltage","Electric power conversion",2011,6
"486","Wind power","Kinetic energy",2015,6
"487","Renewable energy","Beaufort scale",2011,6
"488","Cell plate","Automotive battery",2014,6
"489","Wind farm","Electricity generation",2014,6
"490","Linear actuator","Lifting equipment",2015,6
"491","Wind farm","Energy storage device",2012,6
"492","Renewable energy","Carbon dioxide",2014,6
"493","Viscosity","Pour point",2011,6
"494","Wind power","Epicyclic gearing",2009,6
"495","Wind power","Superficial inguinal ring",2009,6
"496","Wind speed","AC power",2015,6
"497","Wind power","Power outage",2014,6
"498","Wind power","Wave power",2011,6
"499","Electric power system","Direct current",2014,6
"500","Electrical network","Electrical energy",2014,6
"501","Structural element","Heat exchanger",2011,6
"502","Wind power","Control System",2011,6
"503","Wind direction","Sightline",2014,6
"504","Reluctance motor","Current source",2006,6
"505","Idoneal number","Fuel cell",2011,6
"506","Inductive sensor","Angular frequency",2015,6
"507","Wind power","Motor vehicle",2011,6
"508","Wind power","Reverse osmosis",2009,6
"509","Greenhouse gas","Carbon dioxide",2011,6
"510","Electric generator","Alternator",2013,6
"511","Wind power","Fault detection and isolation",2013,6
"512","Switching time","Electric power conversion",2013,6
"513","Hydrogen tank","Fuel cell",2011,6
"514","Special transport","Oversize load",2011,6
"515","Electronic System","Electronics",2012,6
"516","Wind direction","Fluid dynamics",2007,6
"517","Dimension","Control System",2015,6
"518","Flow velocity","Air current",2014,6
"519","Electric power distribution","AC power",2012,6
"520","IS–LM model","Control System",2014,6
"521","Pumped-storage hydroelectricity","Electrical energy",2013,6
"522","Solar cell","Carbon dioxide",2009,6
"523","Wind power","Duct (flow)",2011,6
"524","Wind speed","Wind direction",2015,6
"525","Lift coefficient","Angle",2011,6
"526","Driver circuit","Control arm",2011,6
"527","Electric power system","Alternator",2013,6
"528","Fuel cell","Carbon dioxide",2008,6
"529","Wind speed","Speed",2011,6
"530","Lifting equipment","Horizontal and vertical",2015,6
"531","Rotational speed","Beaufort scale",2015,6
"532","Epicyclic gearing","Electricity generation",2011,6
"533","Heat transfer","Heat sink",2011,6
"534","Control System","Angular displacement",2014,6
"535","Wind farm","Electrical energy",2009,6
"536","Wind power","Kinetic energy",2011,6
"537","Magnetic flux","Euclidean vector",2009,6
"538","Electric power system","Electric power conversion",2011,6
"539","Wind power","Carbon dioxide",2011,6
"540","Renewable fuels","Carbon monoxide",2013,6
"541","Surface finishing","Flight control surfaces",2012,6
"542","Electric machine","Electricity generation",2009,6
"543","Wind power","Water turbine",2008,6
"544","Power outage","Direct current",2014,6
"545","Heat pipe","Cryogenics",2011,6
"546","Pulse-width modulation","Energy storage",2011,6
"547","Energy storage device","Electrical energy",2009,6
"548","Synchronous motor","Emergency management",2011,6
"549","Renewable energy","Chloralkali process",2014,6
"550","Transition metal","Annulus (mathematics)",2010,6
"551","Wind power","Fault detection and isolation",2014,6
"552","Vertical orientation","Offshore structure",2011,6
"553","Neutron source","Isochoric process",2008,6
"554","HVDC converter station","Energy storage device",2011,6
"555","Active Power","AC power",2010,6
"556","Wind power","Absolute value",2011,6
"557","Solid surface","Contact angle",2011,6
"558","Wind speed","Mechanical energy",2011,5
"559","Electric power transmission","Electrical energy",2011,5
"560","Wind power","Motive power",2010,5
"561","Wind power","Reference range",2015,5
"562","Electric generator","Electrical energy",2011,5
"563","Electrical energy","Chemical reaction",2008,5
"564","Parameter (computer programming)","Motive power",2011,5
"565","Rotational energy","Fluid dynamics",2011,5
"566","Wind speed","Control logic",2011,5
"567","Water turbine","Electrical energy",2013,5
"568","Synthetic membrane","Magnetic flux",2015,5
"569","Signaling (telecommunications)","Electrical energy",2009,5
"570","Renewable energy","Energy supply",2011,5
"571","Signaling (telecommunications)","Control System",2011,5
"572","Wind power","Chemical reactor",2014,5
"573","Metal matrix composite","Electroless plating",2011,5
"574","Superheated steam","Duct (flow)",2011,5
"575","Vanadium redox battery","Electricity generation",2007,5
"576","Steel","Rotational speed",2015,5
"577","Transient state","Electric power distribution",2014,5
"578","Vacuum deposition","Metal matrix composite",2011,5
"579","Wave power","Chemical reactor",2014,5
"580","Input port","Electricity generation",2011,5
"581","Disc brake","Brake pad",2015,5
"582","Speed of sound","Rotational speed",2008,5
"583","Turbine blade","Fluid dynamics",2014,5
"584","Wind power","Rotational speed",2009,5
"585","Thermal radiation","Principal series representation",2014,5
"586","Wind power","Parameter (computer programming)",2014,5
"587","Pulse-width modulation","Electric power conversion",2014,5
"588","Wind speed","Drag (physics)",2011,5
"589","Ice","Contact angle",2011,5
"590","Wind power","Active Power",2011,5
"591","Mixed state","Electric arc furnace",2011,5
"592","Wind speed","Surface area",2010,5
"593","Turbine blade","Angle of attack",2014,5
"594","Heat exchanger","Data storage device",2014,5
"595","Energy development","Electrical energy",2011,5
"596","Probability distribution","Confidence interval",2011,5
"597","Torsion spring","Elastic energy",2014,5
"598","Power function","AC power",2009,5
"599","Electric power transmission","Electric power distribution",2014,5
"600","Energy storage","Electrical energy",2007,5
"601","Water turbine","Fluid dynamics",2009,5
"602","Rotation around a fixed axis","Rotational speed",2015,5
"603","Wave power","Renewable energy",2014,5
"604","Thermal energy","Mechanical energy",2007,5
"605","Wind power","Fluid dynamics",2009,5
"606","Wind speed","Dynamic pressure",2014,5
"607","Electric machine","Electrical energy",2009,5
"608","Synchronous motor","Alternating current",2011,5
"609","Water vapor","Drinking water",2015,5
"610","Motive power","Electrical energy",2011,5
"611","Ion exchange","Electrical energy",2011,5
"612","Electrical energy","Chemical energy",2011,5
"613","Staple (textiles)","Flight control surfaces",2012,5
"614","Surface area","Composite material",2011,5
"615","Fluid dynamics","Electricity generation",2014,5
"616","Electric power transmission","AC power",2006,5
"617","Wind speed","Electricity generation",2014,5
"618","Electric generator","Direct current",2010,5
"619","Energy transformation","Electrical energy",2008,5
"620","Lift coefficient","Drag coefficient",2011,5
"621","Synthetic membrane","Fibre-reinforced plastic",2015,5
"622","Wind power","Active Power",2012,5
"623","Wind power","Carbon dioxide",2014,5
"624","Wind power","Centrifugal force",2013,5
"625","Renewable energy","Chemical reactor",2014,5
"626","Wind farm","Offshore wind power",2011,5
"627","Driver circuit","Arm",2011,5
"628","Kinetic energy","Electrical energy",2008,5
"629","Synchronous motor","Induction motor",2011,5
"630","Yaw system","Circuit diagram",2011,5
"631","Wind speed","Optical fiber",2010,5
"632","Mineral oil","Base oil",2011,5
"633","Temperature","Humidity",2011,5
"634","Wind speed","Energy development",2008,5
"635","Wind farm","Alternator",2010,5
"636","Vanadium redox battery","Electricity generation",2006,5
"637","Powder metallurgy","Metal matrix composite",2011,5
"638","Wind power","Mean width",2011,5
"639","Energy transformation","Electrical energy",2011,5
"640","Room temperature","Cryogenics",2011,5
"641","Renewable energy","Concentrated solar power",2011,5
"642","Thermal radiation","Autostereogram",2014,5
"643","Wind power","Electric power system",2013,5
"644","Wind power","Flight control surfaces",2010,5
"645","Rolling-element bearing","Monoceros Ring",2011,5
"646","Wind speed","Wind direction",2010,5
"647","Singleton (mathematics)","Electricity generation",2013,5
"648","Wind direction","Euler angles",2010,5
