"id","ngram","ngramids","corpus_sum","ngram_length","specificity","in_degree","out_degree","cluster","n_types"
"83","0x12348a","Tunica intima","{230280}",30241901,2,4.42867735329476e-07,33,19,1,3
"84","0x123c38","Cell plate","{37021052}",30241901,2,4.69714290411429e-06,9,14,3,0
"85","0x1251ef","Complex differential form","{424969}",30241901,2,7.50996685250831e-08,15,28,7,0
"86","0x125549","Polypropylene glycol","{14014860}",30241901,2,3.08137952917803e-09,10,35,1,0
"87","0x12619f","Aposematism","{662652}",30241901,2,1.24402661184407e-07,112,89,9,0
"88","0x126f0f","Structural stability","{192641}",30241901,2,1.418427121484e-06,28,63,7,0
"89","0x127a","Coriolis force","{398985,646548}",30241901,2,1.09933131798419e-06,76,147,6,1
"90","0x127e36","Biomedical technology","{1822607}",30241901,2,2.42196430993393e-06,13,13,4,0
"91","0x128078","Trace heating","{1645072}",30241901,2,1.33625617099803e-06,7,23,1,0
"92","0x1292b0","Soybean oil","{131479}",30241901,2,1.28913602657827e-08,73,36,3,1
"93","0x1296ca","Orientation (geometry)","{1011782}",30241901,2,1.48536141665454e-07,58,57,7,0
"94","0x129e22","Thermal power station","{2791863,1159206,2214399,269265}",30241901,2,5.00347831090435e-06,117,222,2,1
"95","0x12c041","Acoustic emission","{3503131,20700547}",30241901,2,4.8938660283201e-06,6,14,3,0
"96","0x12cb54","Spring steel","{1666380}",30241901,2,1.74555986301544e-08,35,21,5,0
"97","0x12d8c7","Fatigue limit","{7138805,128815}",30241901,2,1.46129690208304e-06,10,16,6,0
"98","0x12de7","Nature reserve","{326157}",30241901,2,3.22928574657857e-06,962,152,9,1
"99","0x12dec","Surface tension","{160287}",30241901,2,2.44642859589286e-09,280,174,6,1
"100","0x12e43c","Detection limit","{3398179}",30241901,2,6.90619526000962e-07,22,10,3,0
"101","0x12f415","Voltage drop","{3568352,174807}",30241901,2,1.16326991246358e-06,49,39,4,0
"102","0x12f47e","User requirements document","{7557829,10879002}",30241901,2,4.87439357974124e-08,6,13,4,0
"103","0x12fc","Derivative","{858004,599777}",30241901,2,1.38397960567653e-07,604,166,7,2
"104","0x12fd19","Fill dirt","{10388328}",30241901,2,1.39784713679553e-07,26,23,1,0
"105","0x13056e","Flow (mathematics)","{5411774}",30241901,2,2.23565936301593e-06,44,54,7,0
"106","0x130733","Early warning system","{553631}",30241901,3,1.38397960567653e-06,8,12,5,0
"107","0x131d3e","Tie clip","{5159065}",30241901,2,7.45219787671978e-08,13,11,1,1
"108","0x134754","Pier (architecture)","{1135634,3827958}",30241901,2,4.84392861986786e-06,158,34,1,1
"109","0x134936","Everyday life","{16713}",30241901,2,3.84438779354592e-08,95,100,9,1
"110","0x134e3c","Resource distribution","{35104257}",30241901,2,1.40403728112112e-07,5,20,9,0
"111","0x135e6f","Self storage","{6029057}",30241901,2,2.92463614784474e-08,28,52,9,0
"112","0x135f37","Normal height","{1552813}",30241901,2,3.87514289589429e-07,6,12,2,0
"113","0x1361db","Brush (electric)","{19454097}",30241901,2,1.17571083006501e-06,27,25,4,0
"114","0x136aea","Injection pump","{2707411}",30241901,2,2.9626474739253e-08,20,28,5,0
"115","0x137189","Demand response","{671923,36533966,36013865}",30241901,2,7.32695085358163e-07,42,85,4,0
"116","0x137928","High-density storage media","{18195}",30241901,2,3.19625774983032e-09,3,9,4,1
"117","0x137948","Bridging (networking)","{429374,33751735}",30241901,2,5.12886559750714e-06,52,25,4,0
"118","0x137bc3","Support surface","{32783261,3146644,2068234,7889905}",30241901,2,2.14723075977456e-07,1,20,5,0
"119","0x137be4","Tympanic cavity","{775062,3072113,502153,4833121,515102}",30241901,2,2.25862550317427e-06,45,46,9,3
"120","0x137ccf","Electronic speed control","{1608553}",30241901,2,1.13974791055714e-06,23,50,4,0
"121","0x139d3a","Medicare Part D","{5418565}",30241901,2,1.8074360521895e-08,54,82,9,0
"122","0x139dc0","Grid connection","{6164132,35778738}",30241901,2,4.27662166438784e-06,6,17,4,0
"123","0x13b344","Butt joint","{2011809}",30241901,2,1.4734383634579e-07,22,28,1,0
"124","0x13b7e7","Reciprocating motion","{4168549}",30241901,2,2.95561746297022e-07,42,28,4,0
"125","0x13bd31","Control arm","{2236380,1347675,5819657}",30241901,2,1.89865171745092e-06,39,18,5,0
"126","0x13c114","Piston ring","{11467696}",30241901,2,2.61657184057683e-08,44,33,5,1
"127","0x13d833","Film frame","{1231536}",30241901,2,1.68998817963118e-08,107,48,4,0
"128","0x13da19","Surface finishing","{1129052,1567910,2739166}",30241901,2,8.80411695554062e-07,38,72,5,0
"129","0x13da62","Multiple integral","{5198400}",30241901,2,6.91989802838265e-07,39,81,7,1
"130","0x13dd5c","Critical distance","{643283}",30241901,2,6.79849630858647e-07,1,9,6,0
"131","0x13e5db","Adjustable-speed drive","{5941124,19704323}",30241901,2,1.43720959051024e-06,22,39,4,1
"132","0x13f501","Data analysis","{2522959,74780}",30241901,2,2.91120918723277e-07,131,135,6,2
"133","0x13fb4a","Bucket-wheel excavator","{40956762}",30241901,2,1.58817331798946e-07,15,40,5,0
"134","0x13fc13","Systems management","{238027}",30241901,2,8.80714294521429e-08,48,51,4,1
"135","0x13fdbb","Primary field","{14933665,5644069}",30241901,2,5.01961515012213e-06,8,9,6,0
"136","0x140019","Working animal","{170012}",30241901,2,3.08639699672996e-06,119,117,2,1
"137","0x140895","Emergency power system","{34954442}",30241901,2,2.06124622122036e-07,33,46,4,0
"138","0x14098","Band gap","{264617}",30241901,2,3.24008603335643e-08,150,82,6,0
"139","0x141d","Decibel","{6939138,4848240}",30241901,2,9.97833773834075e-07,475,169,4,2
"140","0x1421","Dimension","{2754310}",30241901,2,2.17704657072713e-07,563,216,6,1
"141","0x1421f4","Component-based software engineering","{4836890}",30241901,2,3.12511523862442e-07,67,150,4,1
"142","0x1431f7","Signal timing","{1146098}",30241901,2,6.06438637855131e-08,6,17,9,0
"143","0x1434db","Traffic flow","{283773}",30241901,2,2.36289200969164e-07,47,103,7,0
"144","0x14352c","Natural fiber","{6160926,4276,767122}",30241901,2,1.72808520111777e-07,37,50,1,0
"145","0x143812","Coastal management","{1619930}",30241901,2,3.45994901419133e-07,70,147,1,0
"146","0x1439b2","Capcom Classics Collection","{7769193}",30241901,2,9.09657956782696e-09,46,79,8,8
"147","0x144141","Locus (genetics)","{1337283}",30241901,2,5.12886559750714e-06,269,26,9,0
"148","0x1446ae","Motor control","{16663701}",30241901,2,1.2349959654054e-07,57,63,9,0
"149","0x1448","Data set","{224434}",30241901,2,2.36738298011462e-08,98,41,4,0
"150","0x144d2d","Circuit design","{87970}",30241901,2,1.09343761170832e-08,29,54,4,1
"151","0x145b","Digital signal processing","{74774}",30241901,3,1.37742046062593e-07,351,122,4,2
"152","0x145c64","Battery charger","{4751400,31694149}",30241901,2,9.79670956827207e-07,56,113,2,1
"153","0x146387","Condition monitoring","{11915172,12070290,15199301}",30241901,2,5.41504684142433e-06,12,35,9,0
"154","0x14769b","Upper set","{1958922}",30241901,2,1.16721171563081e-07,25,21,7,0
"155","0x1478","Design","{113334}",30241901,2,1.77128733114571e-06,872,154,9,2
"156","0x147a93","Air current","{15565782}",30241901,2,1.86050894717652e-05,17,21,6,0
"157","0x147d80","Pressure gradient","{279381,1670497}",30241901,2,3.72609893835989e-07,52,32,6,0
"158","0x147f09","Supply network","{8543470}",30241901,2,1.06277239868743e-05,7,17,9,0
"159","0x147f8f","Petroleum reservoir","{3373573}",30241901,2,3.42629787435392e-08,43,68,3,0
"160","0x148725","Sodium sulfide","{1539111}",30241901,2,1.81081443733378e-08,47,35,3,5
"161","0x14935f","Hydraulic brake","{10410816}",30241901,2,1.86504203545714e-06,48,48,5,0
"162","0x1497d7","Packet loss","{293830}",30241901,2,7.59236460794335e-09,49,46,4,0
"163","0x14a139","Energy industry","{2906145}",30241901,2,7.51644096186392e-07,90,126,2,1
"164","0x14a64f","Inner core","{305735}",30241901,2,1.15434700503255e-08,51,43,2,0
"165","0x14a828","Fiber Bragg grating","{49934115,12143517}",30241901,2,1.3693084437789e-07,19,52,4,0
"166","0x14b471","Supercritical carbon dioxide","{3985533}",30241901,3,3.59142066347941e-08,33,76,3,0
"167","0x14b603","Gas engine","{4460236}",30241901,2,1.26308438588471e-08,53,76,5,0
"168","0x14bc7b","Quenching (fluorescence)","{6204771,4714362}",30241901,2,1.77758848435518e-07,25,26,6,0
"169","0x14cefe","Momentum transfer","{90349}",30241901,2,2.20178573630357e-07,12,31,6,0
"170","0x14cf","Dark matter","{194495}",30241901,2,2.98087915068791e-06,339,280,5,1
"171","0x14d107","Shoulder joint","{1367125}",30241901,2,1.03613446414286e-07,30,72,9,3
"172","0x14dab6","Tutorial system","{46417313}",30241901,2,7.17619054795238e-07,10,23,9,0
"173","0x14e3","Doppler effect","{736994}",30241901,2,2.37792859520786e-06,311,91,4,1
"174","0x14e577","Dental drill","{7352322}",30241901,2,9.40568664052011e-08,24,53,5,1
"175","0x14ea7d","Throughput (business)","{1095777}",30241901,2,6.35269327195785e-08,11,13,9,0
"176","0x14fa0a","Electric discharge","{152211}",30241901,2,1.29343888380984e-08,24,38,6,0
"177","0x14fbc6","Environmental change","{298771,241702}",30241901,2,2.84414157496828e-07,13,6,9,0
"178","0x150c18","Length function","{3832589}",30241901,2,4.44850587538885e-07,11,15,7,0
"179","0x152440","Spatial frequency","{4907766}",30241901,2,4.40357147260714e-07,37,25,7,0
"180","0x153920","Capsule (pharmacy)","{46354508}",30241901,2,4.86826996971644e-08,98,47,3,0
"181","0x153b34","Three-dimensional space","{142769,1281867}",30241901,2,5.43244331200134e-08,348,140,7,0
"182","0x15565b","Mass movement","{4467855}",30241901,2,1.64200970165012e-07,17,13,9,1
"183","0x15591b","Brake lining","{5293620}",30241901,2,1.5283321069205e-06,13,29,5,0
"184","0x155e36","Processing medium","{20855601}",30241901,2,9.39428580822857e-07,5,4,6,0
"185","0x1560c5","Arc (geometry)","{876101,81760}",30241901,2,9.30629898149444e-07,102,24,7,1
"186","0x156e1a","Ultrasonic testing","{9427189}",30241901,2,3.02745538741741e-07,29,36,5,1
"187","0x15728b","Vascular tissue","{22480910,191554,272587}",30241901,2,2.73475151439258e-08,53,29,9,0
"188","0x157496","Rotation around a fixed axis","{639640,913131}",30241901,2,2.05531131162745e-05,46,65,6,1
"189","0x157a8b","Aerodynamic force","{505288,965203}",30241901,2,4.44859453519703e-05,19,21,6,0
"190","0x15808b","Water transportation","{1139523}",30241901,2,2.42196430993393e-07,14,32,2,0
"191","0x15831e","Itaconic acid","{16113152}",30241901,2,3.36383931935268e-08,4,24,3,5
"192","0x1589","Degree Confluence Project","{1496653}",30241901,2,9.68785723973572e-07,21,25,2,0
"193","0x158d49","Magnetic flux leakage","{1265745}",30241901,3,1.07642858219286e-06,9,40,5,0
"194","0x15a16c","Rolling (metalworking)","{756559,11845580}",30241901,2,2.86384694384797e-07,69,96,5,1
"195","0x15a878","Ring size","{1499792}",30241901,2,9.40568664052011e-08,2,29,6,0
"196","0x15aa73","Set (music)","{15330185}",30241901,2,1.93757144794714e-06,31,36,9,0
"197","0x15af0c","Normal surface","{609960}",30241901,2,2.42697872879508e-06,9,12,7,0
"198","0x15b154","Stroke (engine)","{2524636}",30241901,2,1.84179795432238e-08,195,29,5,0
"199","0x15ba","Dynamical system","{269144}",30241901,2,5.27230325972012e-07,282,154,7,1
"200","0x15c0a4","Direction vector","{585590}",30241901,2,1.45136438048475e-07,8,13,7,0
"201","0x15ccca","Stabilizer (chemistry)","{3257873}",30241901,2,3.18679514464991e-08,39,22,3,0
"202","0x15d","Absolute value","{272417,19483}",30241901,2,9.78018215931969e-07,319,86,7,1
"203","0x15e8da","Flow battery","{35686892,42552201,20223129}",30241901,3,6.64439353456213e-06,29,77,2,0
"204","0x15ec96","Mass flow","{1145890}",30241901,2,1.48860744310629e-07,11,14,6,0
"205","0x15f628","Mechanical impedance","{2459323}",30241901,2,4.76061780822394e-08,8,7,6,0
"206","0x15fa3d","Pauling's rules","{10227908}",30241901,2,5.47336567216707e-08,10,35,7,0
"207","0x160219","Ring expansion and ring contraction","{11775704}",30241901,2,4.50598011150498e-07,3,34,3,0
"208","0x16077a","Hydraulic cylinder","{2814208,17895599}",30241901,2,2.58444810341805e-06,59,37,5,0
"209","0x1609f9","Third phase","{7133}",30241901,2,5.48887095735735e-08,3,14,3,0
"210","0x160aa5","Route planning software","{38137586}",30241901,2,3.22928574657857e-07,7,16,2,1
"211","0x161085","Fracture toughness","{782326}",30241901,2,5.06187025588513e-07,34,67,6,0
"212","0x1618cb","Specific modulus","{23570892}",30241901,2,1.47780873148511e-06,8,71,3,0
"213","0x161b0a","Electric power","{7826379,7145064,1025544}",30241901,2,1.19751016560392e-06,454,106,4,1
"214","0x161e21","Component diagram","{4299536}",30241901,2,4.21007798926226e-08,5,8,4,0
"215","0x162958","RayForce","{31499885}",30241901,2,1.40200538925264e-08,11,39,8,8
"216","0x162da6","Productive efficiency","{1209875}",30241901,2,1.88113732810402e-08,11,13,9,0
"217","0x162e06","Reasonable time","{935598}",30241901,2,9.68785723973572e-08,0,2,4,0
"218","0x162e60","State variable","{1731111,6043389,27799}",30241901,2,4.13866612682694e-07,26,32,4,0
"219","0x1649b6","Linear alternator","{30782353,6220503}",30241901,2,1.06330140436124e-05,7,25,5,0
"220","0x164aaa","Electrolysis of water","{781611,832024}",30241901,2,4.69145629042892e-06,43,111,3,0
"221","0x165330","Electronic hardware","{841480}",30241901,2,2.11756442398595e-07,16,10,4,0
"222","0x1655fd","Surface states","{15873750,51722141,35348570}",30241901,2,1.20862156597093e-06,11,55,3,1
"223","0x165655","Copper loss","{34918977,49522806}",30241901,2,1.28221639937679e-06,9,29,4,0
"224","0x165897","Diesel generator","{719603}",30241901,2,3.00869369205877e-05,123,71,5,1
"225","0x165e37","Background noise","{1040468}",30241901,2,6.75373471399082e-08,27,39,6,0
"226","0x1664ac","Ventricular assist device","{9222844}",30241901,3,3.52285717808571e-08,33,56,9,0
"227","0x166b84","Synchronous condenser","{6420523}",30241901,2,4.30571432877143e-06,10,35,4,0
"228","0x167","Aspect ratio","{33226}",30241901,2,1.70794740759298e-08,443,46,7,0
"229","0x167f47","Forced convection","{5088710}",30241901,2,1.21098215496696e-06,8,14,6,0
"230","0x168e0c","Non-ferrous metal","{10180481,437494,19598976}",30241901,2,7.64420297499275e-07,30,60,3,1
"231","0x168ec3","Transmission system operator","{6315103}",30241901,3,4.30571432877143e-06,22,23,4,1
"232","0x16934","Grid plan","{39409126}",30241901,2,2.23565936301593e-06,218,187,9,0
"233","0x16a610","Kilometre zero","{4715034}",30241901,2,6.25023047724885e-07,25,185,2,0
"234","0x16acaf","Debye–Waller factor","{43872720}",30241901,2,1.93757144794714e-06,3,26,6,0
"235","0x16b2","Ethology","{3071403}",30241901,2,6.45857149315714e-07,298,203,9,2
"236","0x16b3","Electromagnetic radiation","{10664,9953,3037412}",30241901,2,6.63055142062973e-08,636,259,6,1
"237","0x16b591","Noise (acoustic)","{2281504}",30241901,2,1.2525198014434e-06,8,13,2,0
"238","0x16b6ba","Field coil","{4685103,2359487,4695948}",30241901,2,3.09606236121592e-05,14,44,6,0
"239","0x16b933","Silicone rubber","{25318890,1328172}",30241901,2,1.20608244503401e-08,52,81,1,0
"240","0x16b9fe","Rotary wheel blow molding systems","{30588452,4225514}",30241901,2,8.3336406363318e-07,3,16,1,0
"241","0x16ce4e","Boost converter","{6420525}",30241901,2,1.65075309729256e-07,20,38,4,0
"242","0x16cfe","Storm","{652055}",30241901,2,2.42196430993393e-06,238,246,2,1
"243","0x16d24c","Ray (optics)","{655198}",30241901,2,1.73213968169779e-09,105,54,5,1
"244","0x16d274","Sentinel value","{886206,2248636,3131808}",30241901,2,1.39393629348715e-07,18,23,9,1
"245","0x16dac0","Duality (optimization)","{3312268}",30241901,2,1.0091517958058e-07,13,47,7,0
"246","0x16dac1","Optical fiber","{3659502,1255,53314,308107,1979760}",30241901,2,2.1390082986612e-06,554,347,4,1
"247","0x16e238","Line length","{1092331}",30241901,2,5.97196679161791e-07,2,22,9,1
"248","0x16eb52","Capacity utilization","{1557571}",30241901,2,7.07142864214286e-08,31,23,5,0
"249","0x16efa6","Yield (engineering)","{4315670,417457,6538018,363274,5338095}",30241901,2,4.22103310899226e-07,66,92,6,0
"250","0x16f3","Electricity generation","{159237,17153073,986478,618953,216897,58928542,21727908,618960,159822,159228,1660204,881424}",30241901,2,0.000541839375344759,390,156,4,2
"251","0x16fbd8","Systems architecture","{652442}",30241901,2,4.6132653522551e-07,32,53,4,0
"252","0x170395","Higher Power","{265335}",30241901,2,2.30663267612755e-07,13,56,9,0
"253","0x1704","Ellipsis","{1996064}",30241901,2,4.12249244244073e-07,101,94,9,1
"254","0x170850","Independent sources","{266132}",30241901,2,1.42468488819643e-07,3,16,9,0
"255","0x170d","Electrochemistry","{705234}",30241901,2,7.91204311775149e-08,221,281,3,2
"256","0x170f10","Pneumatic actuator","{9027527,2489080}",30241901,2,1.48383636203547e-06,9,10,5,0
"257","0x1715","Electrical engineering","{60802027,9066358}",30241901,2,3.45994901419133e-06,1143,380,4,2
"258","0x1717","Electrical network","{45836263,35454192,100524,2929853,1012592}",30241901,2,8.34804719594248e-06,185,83,4,1
"259","0x1721","Electromagnetism","{572617}",30241901,2,8.71907151576214e-07,630,164,6,1
"260","0x172309","Austenitic stainless steel","{4525578}",30241901,2,6.68128085499015e-08,10,22,5,0
"261","0x1729f7","Design methods","{521827}",30241901,2,9.09396560818104e-07,9,101,9,0
"262","0x172ca3","Unmoved mover","{457487}",30241901,2,3.22928574657857e-06,40,43,7,0
"263","0x172cb5","Piezoelectric sensor","{3503111,2458369}",30241901,2,1.47203908675946e-07,26,64,5,0
"264","0x1730","Expected value","{260333,1038784}",30241901,2,5.42452198900337e-07,441,110,4,0
"265","0x1735a4","Respiratory tract infection","{4151512}",30241901,2,2.44642859589286e-08,35,37,9,3
"266","0x1740a2","Electrical load","{5632403,383487,1544018,1544019,383421}",30241901,2,5.84927229568949e-06,64,29,4,0
"267","0x174a86","World Heroes","{170012}",30241901,2,3.08639699672996e-06,68,107,8,0
"268","0x174d0d","Carbonate ester","{40960334}",30241901,2,3.83298011463332e-08,14,36,3,0
"269","0x1753","Electronics","{675640}",30241901,2,1.75950912454336e-07,1620,131,4,2
"270","0x175393","Light metal","{5591126}",30241901,2,1.93327528065679e-07,9,9,3,1
"271","0x175837","Building science","{1108045}",30241901,2,9.26181380471866e-09,15,55,1,0
"272","0x175a8f","Power conditioner","{7845115,6368615}",30241901,2,2.20735987740814e-06,9,21,4,0
"273","0x175d73","Buck converter","{19100630}",30241901,2,1.62366322453671e-07,19,49,4,0
"274","0x176d21","Firm service","{22470701}",30241901,2,4.84392861986786e-06,16,10,4,0
"275","0x176ddd","Building envelope","{2355676}",30241901,2,8.57332499091656e-08,32,31,1,0
"276","0x17740a","Cost efficiency","{1552466}",30241901,2,1.88113732810402e-07,6,4,9,0
"277","0x17761e","Motive power","{259222}",30241901,2,1.79652218545291e-05,88,20,6,0
"278","0x177672","Solar panel","{1968484,6936681,15019366,22962239,29721232,42293379}",30241901,2,4.98738052510999e-06,174,155,2,1
"279","0x177774","Electric heating","{71778,4466628,148676,20868906}",30241901,2,6.083190067504e-07,53,91,1,0
"280","0x1779","Electromagnetic field","{5543427,42511,148907}",30241901,2,2.49027390667966e-07,291,116,6,1
"281","0x177c85","Helicopter rotor","{29677860,42523619,38732247,778376}",30241901,2,0.000385662685475349,119,146,5,1
"282","0x177d84","Power control","{2182939,2613568}",30241901,2,2.47111544008654e-06,12,28,4,0
